*name; short_name;description;latitude;longitude;elevation;type;type_name;country;icao;frequency;rwy_landable;rwy_lenght;rwy_direc;rwy_surface;rwy_surface_name;rwy_bidirectional
Hopsten;Hopstn;;52.20'250"N;007.32'267"E;39;512;milit‰rischer Flugplatz;1060;ETNP;122.100;1;2440;10;1;Asphalt;1
Hornberg;Hornbr;;48.44'733"N;009.51'767"E;675;1792;Segelfluggel‰nde;1060;;122.025;1;0;0;5;Belag unbekannt;1
Hoya;Hoya;;52.48'717"N;009.09'733"E;17;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Huelben;Huelbn;;48.31'833"N;009.24'017"E;720;1792;Segelfluggel‰nde;1060;;123.150;1;0;0;5;Belag unbekannt;1
Huensborn;Huensb;;50.55'820"N;007.54'000"E;398;768;Sonderlandeplatz;1060;EDKH;130.125;1;700;270;3;Gras;1
Huetten/Hotzenwald;Huettn;;47.38'033"N;007.56'467"E;873;1792;Segelfluggel‰nde;1060;;130.125;1;0;0;5;Belag unbekannt;1
Huettenbusch;Huett1;;53.17'270"N;008.56'800"E;3;768;Sonderlandeplatz;1060;EDXU;122.850;1;450;270;3;Gras;1
Huhnrain bei Poppenhausen;Huhnrn;;50.29'400"N;009.50'700"E;420;1792;Segelfluggel‰nde;1060;;133.425;1;0;0;5;Belag unbekannt;1
Husum-Schwesing;HusmSc;;54.30'600"N;009.08'300"E;19;768;Sonderlandeplatz;1060;EDXJ;122.050;1;1140;210;1;Asphalt;1
IBACH           *FELD;IBAAC;;47.43'617"N;008.03'867"E;920;2816;Auﬂenlandefeld;1060;;1  .  0;0;250;170;3;Gras;1
IBACH X         *FL02;IBAXX;;48.26'733"N;008.10'083"E;310;2816;Auﬂenlandefeld;1060;;121.500;0;250;160;4;sonstiger Belag;1
IGELSBERG       *FL04;IGLSB;;48.32'250"N;008.26'033"E;750;2816;Auﬂenlandefeld;1060;;1  .  0;0;300;60;4;sonstiger Belag;1
IGELSLOCH       *FL12;IGELS;;48.44'833"N;008.39'400"E;665;2816;Auﬂenlandefeld;1060;;1  .  0;0;250;110;4;sonstiger Belag;1
Idar-Oberstein/Goettschied;IdarOb;;49.44'030"N;007.20'330"E;480;768;Sonderlandeplatz;1060;EDRG;122.850;1;650;250;3;Gras;1
Illertissen;Illrts;;48.14'170"N;010.08'330"E;512;768;Sonderlandeplatz;1060;EDMI;129.500;1;540;260;3;Gras;1
Illesheim;Illshm;;49.28'500"N;010.23'383"E;9999;512;milit‰rischer Flugplatz;1060;ETIK;122.100;1;0;0;5;Belag unbekannt;1
Ingelfingen-Buehlhof;Inglfn;;49.19'330"N;009.39'430"E;419;768;Sonderlandeplatz;1060;EDGI;130.600;1;480;250;1;Asphalt;1
Ingolstadt-Manching;Inglst;;48.42'900"N;011.32'100"E;366;1024;Flughafen;1060;ETSI;129.850;1;2439;68;0;Beton;1
Irsingen;Irsngn;;49.02'317"N;010.30'200"E;465;1792;Segelfluggel‰nde;1060;;122.475;1;0;0;5;Belag unbekannt;1
Iserlohn-Rheinermark;Iserlh;;51.25'783"N;007.38'600"E;191;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Iserlohn-Suemmern;Iserl1;;51.26'200"N;007.41'983"E;155;1792;Segelfluggel‰nde;1060;;122.425;1;0;0;5;Belag unbekannt;1
Isny-Rotmos;IsnyRt;;47.42'050"N;010.01'300"E;685;1792;Segelfluggel‰nde;1060;;123.500;1;0;0;5;Belag unbekannt;1
Ithwiesen;Ithwsn;;51.57'133"N;009.39'683"E;370;1792;Segelfluggel‰nde;1060;;123.375;1;0;0;5;Belag unbekannt;1
Itzehoe;Itzh;;53.59'033"N;009.34'033"E;22;512;milit‰rischer Flugplatz;1060;ETHI;122.100;1;500;30;1;Asphalt;1
JACHENAU HOEFEN *FLD0;JACH"E;;47.36'000"N;011.29'000"E;750;2816;Auﬂenlandefeld;1060;;1  .  0;0;300;100;3;Gras;1
JUETERBOG CLOSED*   ?;JUET"E;;51.59'717"N;012.59'283"E;100;2816;Auﬂenlandefeld;1060;;1  .  0;0;1500;100;3;Gras;1
Jena-Schoengleina;JenSch;;50.54'800"N;011.42'820"E;380;768;Sonderlandeplatz;1060;EDBJ;122.050;1;790;80;1;Asphalt;1
Jesenwang;Jesnwn;;48.10'520"N;011.07'580"E;567;768;Sonderlandeplatz;1060;EDMJ;122.425;1;408;250;1;Asphalt;1
Jever;Jever;;53.32'050"N;007.53'400"E;7;512;milit‰rischer Flugplatz;1060;ETNJ;122.100;1;2480;100;0;Beton;1
Johannisau;Johnns;;50.31'933"N;009.39'433"E;250;1792;Segelfluggel‰nde;1060;;122.300;1;0;0;5;Belag unbekannt;1
Juist;Juist;;53.40'930"N;007.03'520"E;2;768;Sonderlandeplatz;1060;EDWJ;120.500;1;700;82;0;Beton;1
KAELBERBRONN    *FL01;KAELB;;48.31'917"N;008.29'750"E;705;2816;Auﬂenlandefeld;1060;;1  .  0;0;210;230;4;sonstiger Belag;1
KLIPPENECK FELD *FELD;KLIF"E;;48.06'333"N;008.43'167"E;690;2816;Auﬂenlandefeld;1060;;1  .  0;0;300;70;4;sonstiger Belag;1
KREUZBRUCH;KREUZ;;52.49'267"N;013.25'583"E;39;1792;Segelfluggel‰nde;1060;;122.200;0;800;70;3;Gras;1
